CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50119321,GRAB & GO,Bronx,441,E FORDHAM RD,10458,6467998408,Sandwiches,8/23/2023,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,10/30/2024,Pre-permit (Non-operational) / Initial Inspection,40.86072674,-73.88953366,206,15,39700,2102025,2032730001,BX06,
50100077,EN JAPANESE BRASSERIE,Manhattan,435,HUDSON STREET,10014,2126479196,Japanese,10/9/2024,Violations were cited in the following area(s).,06G,HACCP plan not approved or approved HACCP plan not maintained on premises.,Critical,27,,,10/30/2024,Cycle Inspection / Initial Inspection,40.73057972,-74.00680492,102,3,6900,1010402,1006020068,MN23,
40825993,TRINIDAD GOLDEN PLACE,Brooklyn,788,NOSTRAND AVENUE,11216,7187357065,Caribbean,3/26/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,22,,,10/30/2024,Cycle Inspection / Initial Inspection,40.67181184,-73.95032768,308,35,31702,3031883,3012470049,BK61,
50134535,TAQUITO,Manhattan,96,SOUTH STREET,10038,6467624749,Mexican,7/24/2023,No violations were recorded at the time of this inspection.,,,Not Applicable,0,N,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.70637378,-74.00288184,101,1,1501,1000000,1000730011,MN25,
41629699,BLUE SMOKE,Manhattan,255,VESEY STREET,10282,2128892005,Barbecue,7/23/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,31,,,10/30/2024,Cycle Inspection / Initial Inspection,40.71454392,-74.01568432,101,1,31703,1085867,1000167512,MN25,
41638047,BESO RESTAURANT AND BAR,Brooklyn,370,LEWIS AVENUE,11233,3479152900,Caribbean,9/8/2022,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,0,,,10/30/2024,Cycle Inspection / Initial Inspection,40.68292329,-73.93504994,303,36,27500,3046381,3016640052,BK35,
50007015,EMIR PALACE,Brooklyn,4210,18 AVENUE,11218,7184310007,Middle Eastern,4/11/2022,Establishment re-opened by DOHMH.,,,Not Applicable,0,P,4/11/2022,10/30/2024,Cycle Inspection / Reopening Inspection,40.63159795,-73.97536801,314,40,48400,3127571,3054090036,BK41,
50077888,EL JOBO SEAFOOD RESTAURANT,Bronx,748-750,E 233RD ST,10466,3472029446,Latin American,7/17/2024,Violations were cited in the following area(s).,02C,Hot TCS food item that has been cooked and cooled is being held for service without first being reheated to 165º F or above within 2 hours.,Critical,38,,,10/30/2024,Cycle Inspection / Initial Inspection,40.89280237,-73.85555303,212,12,42200,2063715,2048460065,BX44,
50160123,,Manhattan,461,5 AVENUE,10017,2124705889,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.75227857,-73.98174777,105,4,8200,1071438,1012750001,MN20,
50066286,EL CASTILLO DEL POLLO,Queens,12808,111TH AVE,11420,7188454071,Spanish,5/31/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,53,,,10/30/2024,Cycle Inspection / Initial Inspection,40.68277861,-73.81326616,410,28,17200,4250838,4116330004,QN55,
50077821,HALAL DYNASTY,Queens,17233A,HILLSIDE AVE,11432,7182986888,Chinese,5/18/2023,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,6,A,5/18/2023,10/30/2024,Cycle Inspection / Initial Inspection,40.71215774,-73.78896528,408,24,45800,4210593,4098440101,QN06,
50075009,#1 GARDEN CHINESE RESTAURANT,Brooklyn,221,PROSPECT PARK WEST,11215,9172508950,Chinese,7/7/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,24,,,10/30/2024,Cycle Inspection / Initial Inspection,40.66015565,-73.98055482,307,39,16900,3026939,3011100006,BK40,
50091096,BENARES RESTAURANT,Manhattan,45,MURRAY STREET,10007,2127664900,Indian,3/7/2022,Establishment re-opened by DOHMH.,,,Not Applicable,0,C,3/7/2022,10/30/2024,Cycle Inspection / Reopening Inspection,40.71404781,-74.00938238,101,1,2100,1001435,1001330007,MN24,
50069376,QINGDAO,Queens,4046,MAIN ST,11354,9292582233,Chinese,4/25/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,44,C,4/25/2024,10/30/2024,Cycle Inspection / Re-inspection,40.75846921,-73.82961059,407,20,87100,4114146,4050370061,QN22,
50134187,POETICA COFFEE,Brooklyn,622,CATON AVENUE,11218,9177975131,Coffee/Tea,4/19/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,4/19/2023,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.64769586,-73.97430258,312,40,50400,3124350,3053290104,BK40,
41503108,TULCINGO RESTAURANT,Queens,40364040,NATIONAL STREET,,7186398880,Mexican,4/15/2024,Violations were cited in the following area(s).,20-06,Current letter grade or Grade Pending card not posted,Not Critical,,,,10/30/2024,Administrative Miscellaneous / Re-inspection,0,0,,,,,4,,
50146754,SAN SABINO,Manhattan,113,GREENWICH AVENUE,10014,2129708808,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.73805115,-74.00200273,102,3,7700,1011045,1006150076,MN23,
50145395,DELICIOUS SOUL FOOD,Bronx,596,GRAND CONCOURSE,10451,7184503757,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.81974461,-73.92673973,204,17,6100,2002447,2024430041,BX14,
50148352,COTE WINE BAR,Bronx,5639,MOSHOLU AVENUE,10471,7187086568,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.90482386,-73.9020711,208,11,33700,2085066,2058610178,BX22,
50125458,AUTHENTIC KITCHEN,Brooklyn,4213,CHURCH AVENUE,11203,3478677061,Caribbean,10/13/2022,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,7,A,10/13/2022,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.65138735,-73.93785931,317,41,87200,3109049,3048790136,BK91,
50108285,KFC,Brooklyn,798,4 AVENUE,11232,7187684853,Chicken,7/22/2021,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,22,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.65917467,-73.99936205,307,38,10100,3009735,3006600039,BK32,
50118638,OMG BURGER & PIZZA,Brooklyn,1307,MYRTLE AVENUE,11221,8452484430,Pizza,2/17/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,9,A,2/17/2022,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.69801129,-73.92595439,304,34,42300,3251895,3032330001,BK78,
50130959,EL KAMBUCHE DE LOLA 2,Queens,13840,84TH DR,11435,3474458909,Spanish,3/1/2023,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,,,10/30/2024,Pre-permit (Operational) / Initial Inspection,40.70909531,-73.81824551,408,24,21400,4206515,4096490044,QN35,
40861694,SPIROS RESTAUTRANT,Brooklyn,2103,AVENUE U,11229,7188919843,American,2/9/2022,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,A,2/9/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.59951422,-73.95022323,315,48,57800,3198385,3073260048,BK44,
50086366,LA ELEGANCIA RESTAURANT,Queens,8826,37TH AVE,11372,3478463569,Latin American,5/18/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,0,,,10/30/2024,Cycle Inspection / Initial Inspection,40.75035191,-73.878417,403,21,27700,,4,QN28,
50159449,MAMAS CHICKEN SHACK HAPPY DUMPLING COCOA CABIN,Manhattan,20,UNION SQUARE WEST,10003,9177336708,,1/1/1900,,,,Not Applicable,,,,10/30/2024,,40.73660979,-73.99067938,105,2,5200,1016108,1008450002,MN13,
50000307,JOHNNY'S FRIED CHICKEN,Bronx,1350,SHAKESPEARE AVENUE,10452,7186810641,Chicken,3/1/2023,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,23,,,10/30/2024,Cycle Inspection / Initial Inspection,40.84058522,-73.92225688,204,16,21100,2003332,2025200001,BX26,
50115660,U BEST BAKERY,Queens,13688,ROOSEVELT AVE,11354,9172778858,Chinese,3/25/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,3/25/2024,10/30/2024,Cycle Inspection / Initial Inspection,40.76018443,-73.82759917,407,20,85300,4583979,4050190059,QN22,
50115660,U BEST BAKERY,Queens,13688,ROOSEVELT AVE,11354,9172778858,Chinese,12/8/2022,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,17,,,10/30/2024,Cycle Inspection / Initial Inspection,40.76018443,-73.82759917,407,20,85300,4583979,4050190059,QN22,
50040106,DWEEBS,Brooklyn,1434,DEKALB AVENUE,11237,3474135272,Coffee/Tea,5/25/2022,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12,A,5/25/2022,10/30/2024,Cycle Inspection / Initial Inspection,40.70042751,-73.92302684,304,37,42900,3073828,3032460021,BK77,
50137906,THE BRUNCH HOUSE,Brooklyn,1784,FLATBUSH AVENUE,11210,6093361235,Caribbean,3/1/2024,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,,,10/30/2024,Pre-permit (Operational) / Compliance Inspection,40.6265817,-73.94106348,318,45,74000,3208201,3076170025,BK58,
